feature,importance
radius_worst,0.27406925968290224
perimeter_worst,0.26087838693496096
concave points_mean,0.18384642800012327
concave points_worst,0.1278051937949163
area_worst,0.02621755645312892
texture_mean,0.023910249838348847
texture_worst,0.019529602160870522
concavity_worst,0.019122784334223614
area_se,0.017362451851395216
smoothness_worst,0.009525144496932682
area_mean,0.008115290851002948
texture_se,0.005226310478403879
compactness_worst,0.004827204650045611
compactness_mean,0.004741704934455074
radius_se,0.004097196090729859
symmetry_worst,0.002133859125602571
smoothness_se,0.0015775694035825786
fractal_dimension_se,0.0013723820860028382
concavity_mean,0.0011594241142527043
smoothness_mean,0.001049687792601412
radius_mean,0.0008822877730048118
symmetry_se,0.0008203199837820952
perimeter_mean,0.0006934689897894901
perimeter_se,0.0006448304812085467
compactness_se,0.00019213413030068973
fractal_dimension_worst,0.00014312137072464056
symmetry_mean,4.4976354043302824e-05
concave points_se,6.871088993411021e-06
fractal_dimension_mean,4.302753670814918e-06
concavity_se,0.0
