feature,coefficient,importance
texture_worst,1.5096412003066175,1.5096412003066175
area_se,1.1723327968450747,1.1723327968450747
compactness_se,-1.0855476450740333,1.0855476450740333
symmetry_worst,1.0677690156318136,1.0677690156318136
concave points_mean,0.9515997505998193,0.9515997505998193
radius_se,0.9224195915219183,0.9224195915219183
concavity_worst,0.8381611729787114,0.8381611729787114
area_worst,0.8210947676892041,0.8210947676892041
concavity_mean,0.7271423257197663,0.7271423257197663
radius_worst,0.701273150724748,0.701273150724748
fractal_dimension_se,-0.6871403548175364,0.6871403548175364
concave points_worst,0.6767020159524987,0.6767020159524987
concave points_se,0.6416389989689694,0.6416389989689694
perimeter_se,0.6199855741927872,0.6199855741927872
texture_mean,0.5945379160388862,0.5945379160388862
compactness_mean,-0.564098854961903,0.564098854961903
perimeter_worst,0.559114187590563,0.559114187590563
smoothness_worst,0.5275391191077246,0.5275391191077246
smoothness_mean,0.43176416854020727,0.43176416854020727
area_mean,0.4030576855301106,0.4030576855301106
texture_se,-0.3678577136450004,0.3678577136450004
symmetry_se,-0.36007221027496433,0.36007221027496433
concavity_se,0.30165263984255225,0.30165263984255225
perimeter_mean,0.2721593136304152,0.2721593136304152
radius_mean,0.26008630901023255,0.26008630901023255
symmetry_mean,-0.22086996591327557,0.22086996591327557
smoothness_se,-0.17777255147352478,0.17777255147352478
fractal_dimension_mean,0.09227680432517694,0.09227680432517694
compactness_worst,-0.06888031612239622,0.06888031612239622
fractal_dimension_worst,0.04959252373684088,0.04959252373684088
