threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,sensitivity,specificity,true_negatives,false_positives,false_negatives,true_positives
0.05,0.8771929824561403,0.75,1.0,0.8571428571428571,0.9976851851851851,0.9961867550130692,1.0,0.8055555555555556,58,14,0,42
0.06,0.9122807017543859,0.8076923076923077,1.0,0.8936170212765957,0.9976851851851851,0.9961867550130692,1.0,0.8611111111111112,62,10,0,42
0.07,0.9122807017543859,0.8076923076923077,1.0,0.8936170212765957,0.9976851851851851,0.9961867550130692,1.0,0.8611111111111112,62,10,0,42
0.08,0.9122807017543859,0.8076923076923077,1.0,0.8936170212765957,0.9976851851851851,0.9961867550130692,1.0,0.8611111111111112,62,10,0,42
0.09,0.9298245614035088,0.84,1.0,0.9130434782608695,0.9976851851851851,0.9961867550130692,1.0,0.8888888888888888,64,8,0,42
0.1,0.9298245614035088,0.84,1.0,0.9130434782608695,0.9976851851851851,0.9961867550130692,1.0,0.8888888888888888,64,8,0,42
0.11,0.9385964912280702,0.8571428571428571,1.0,0.9230769230769231,0.9976851851851851,0.9961867550130692,1.0,0.9027777777777778,65,7,0,42
0.12,0.9385964912280702,0.8571428571428571,1.0,0.9230769230769231,0.9976851851851851,0.9961867550130692,1.0,0.9027777777777778,65,7,0,42
0.13,0.9385964912280702,0.8571428571428571,1.0,0.9230769230769231,0.9976851851851851,0.9961867550130692,1.0,0.9027777777777778,65,7,0,42
0.14,0.9473684210526315,0.875,1.0,0.9333333333333333,0.9976851851851851,0.9961867550130692,1.0,0.9166666666666666,66,6,0,42
0.15,0.956140350877193,0.8936170212765957,1.0,0.9438202247191011,0.9976851851851851,0.9961867550130692,1.0,0.9305555555555556,67,5,0,42
0.16,0.9649122807017544,0.9130434782608695,1.0,0.9545454545454546,0.9976851851851851,0.9961867550130692,1.0,0.9444444444444444,68,4,0,42
0.17,0.9649122807017544,0.9130434782608695,1.0,0.9545454545454546,0.9976851851851851,0.9961867550130692,1.0,0.9444444444444444,68,4,0,42
0.18,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9444444444444444,68,4,1,41
0.19,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9583333333333334,69,3,1,41
0.2,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9583333333333334,69,3,1,41
0.21,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9583333333333334,69,3,1,41
0.22,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9583333333333334,69,3,1,41
0.23,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9583333333333334,69,3,1,41
0.24,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.25,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.26,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.27,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.28,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.29,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.3,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.31,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.32,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.33,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.34,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.35,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.36,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.37,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.38,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.39,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.4,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.41,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.42,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851851,0.9961867550130692,0.9761904761904762,0.9861111111111112,71,1,1,41
0.43,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9976851851851851,0.9961867550130692,0.9523809523809523,0.9861111111111112,71,1,2,40
0.44,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9976851851851851,0.9961867550130692,0.9523809523809523,0.9861111111111112,71,1,2,40
0.45,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9976851851851851,0.9961867550130692,0.9523809523809523,0.9861111111111112,71,1,2,40
0.46,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9976851851851851,0.9961867550130692,0.9523809523809523,0.9861111111111112,71,1,2,40
0.47,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.48,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.49,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.5,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.51,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.52,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.53,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.54,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.55,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.56,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.57,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.58,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.59,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.6,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.61,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
0.62,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9976851851851851,0.9961867550130692,0.9047619047619048,0.9861111111111112,71,1,4,38
