feature,importance
perimeter_worst,0.15029508951861262
area_worst,0.13693454454497622
concave points_worst,0.10464371822701711
concave points_mean,0.10141174883644695
radius_worst,0.06830166879234172
perimeter_mean,0.058193681815806794
concavity_mean,0.05374659178765939
radius_mean,0.05094347697351918
area_mean,0.03853425252258419
concavity_worst,0.03838844345500372
area_se,0.030241499632632108
texture_worst,0.019022273398333733
smoothness_worst,0.015559490840176248
compactness_mean,0.015441828358070201
texture_mean,0.015151795433304327
compactness_worst,0.015086392064508678
symmetry_worst,0.012428014409093403
radius_se,0.011254750972199303
perimeter_se,0.008300190955327164
fractal_dimension_worst,0.0069305816990094206
smoothness_mean,0.0066764758455696545
concavity_se,0.006438707019442567
texture_se,0.006119917786965377
compactness_se,0.005522772080228495
fractal_dimension_mean,0.004736927482652925
symmetry_mean,0.004549769139436056
smoothness_se,0.004342939498056122
fractal_dimension_se,0.003688710347127618
symmetry_se,0.0036051504209741563
concave points_se,0.0035085961429245976
